status_num,expected_amount,location,platform,platform_type,capital,year
0,18000000.0,Житомир,Unknown,Громадський бюджет,Інфраструктурний,2020
0,18000000.0,Житомир,Unknown,Громадський бюджет,Інфраструктурний,2020
0,18000000.0,Житомир,Unknown,Громадський бюджет,Інфраструктурний,2020
1,13061664.0,Полтава,Unknown,Громадський бюджет,Інфраструктурний,2019
0,10166606.0,Полтава,Unknown,Громадський бюджет,Інфраструктурний,2019
0,10000230.0,Одеса,Велика Ідея,Краудфандинг,Культурний,2021
0,10000000.0,Миколаїв,Unknown,Громадський бюджет,Інфраструктурний,2021
0,8676949.0,Полтава,Unknown,Громадський бюджет,Інфраструктурний,2019
0,7000000.0,Полтава,Unknown,Громадський бюджет,Інфраструктурний,2019
0,5609000.0,Полтава,Unknown,Громадський бюджет,Інфраструктурний,2019
0,5000000.0,Львів,Велика Ідея,Краудфандинг,Інфраструктурний,2020
0,5000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,5000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,5000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,5000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,5000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,5000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,5000000.0,Полтава,Unknown,Громадський бюджет,Інфраструктурний,2019
0,5000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,5000000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4999995.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4999989.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4999978.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4999968.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4999866.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4999840.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4999840.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4999500.0,Одеса,Unknown,Громадський бюджет,Соціальний,2017
1,4999196.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4999000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4999000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4999000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4999000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4996000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4995878.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4995490.0,Одеса,Unknown,Громадський бюджет,Людський,2017
0,4995160.0,Одеса,Unknown,Громадський бюджет,Людський,2017
0,4990000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4985931.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4980705.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4979879.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4974785.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4969890.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4969550.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4962758.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4960501.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4953960.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4950000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4950000.0,Одеса,Unknown,Громадський бюджет,Соціальний,2017
1,4950000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4943834.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4943800.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4936547.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4935907.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4924260.0,Одеса,Unknown,Громадський бюджет,Людський,2017
1,4924260.0,Одеса,Unknown,Громадський бюджет,Людський,2017
1,4920545.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4917000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4910000.0,Одеса,Unknown,Громадський бюджет,Людський,2017
1,4904447.0,Одеса,Unknown,Громадський бюджет,Людський,2017
0,4900000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4883039.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4880830.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4837500.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4833200.0,Одеса,Unknown,Громадський бюджет,Культурний,2017
1,4820000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4801794.0,Одеса,Unknown,Громадський бюджет,Людський,2017
0,4800000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4800000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4800000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4795636.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,4784000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4776000.0,Одеса,Unknown,Громадський бюджет,Людський,2017
1,4772000.0,Одеса,Unknown,Громадський бюджет,Культурний,2017
0,4771525.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4771021.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4755998.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,4750000.0,Одеса,Unknown,Громадський бюджет,Соціальний,2017
0,4731404.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
